,User ID,Idade Cliente,Genero,UF,Categoria Produto,Tempo_Site,Paginas_Visitadas,Valor_Carrinho,Frete,Usou Cupom,Comprou,Status Pedido,Qtd Itens
112,1891.0,35,Masculino, sp ,Eletronicos,10,100,200,20,nao,cancelado,pendente,4
113,1863.0,18,  M,XX,Roupas,2,1,300,,,1,cancelado,10
114,1742.0,55,M,ce,Casa,0,2,50,0,Sim ,nao,PAGO,1
115,1563.0,trinta,  M,,Casa,5,3,R$ 400,gratis,,nao,pago,10
116,2020.0,55,,,roupas ,5,5,100,R$ 30,,1,cancelado,3
117,1095.0, 35 ,,SP,Roup@,-5,4,0,20,SIM,1,,2
118,1484.0,30,,PE,eletronicos,25,4,300.0,gratis,NAO,0,PAGO,10
119,1230.0,42,Feminino,,roupas ,999,0,100,gratis,Sim ,sim,pendente,0
120,1748.0,,Feminino,ce,Casa,5,0,150,25.5,,0,pendente,1
121,1540.0,22,F,RJ,Mercado,999,8,200,10,,sim,pago,
122,2059.0,30,m, sp ,Roup@,-5,1,0,gratis,não,1,,
123,1524.0,22,f,RJ,mercado,999,4,,R$ 30,NAO,cancelado,,1
124,1577.0,trinta,f,ce,Roupas,10,1,,20,sim,0,,
125,1681.0,35,,RJ,ELETRONICOS,999,5,R$400,R$ 30,SIM,0,cancelado,
126,1556.0,55,M, sp ,Mercado,0,3,300.0,gratis,Sim ,0,pendente,3
127,2012.0,18,f,ce,Casa,5,3,50,R$ 30,Sim ,0,PAGO,3
128,1645.0,trinta,f,,,0,4,0,R$ 30,SIM,0,pago,2
129,1795.0,trinta,M,RJ,Roup@,25,2,,,,0,,10
130,2051.0,55,m, sp ,Casa,10,8,50,10,NAO,nao,cancelado,2
131,1189.0,trinta,Masculino,,casa,2,4,100,0,sim,sim,cancelado,10
132,1632.0,42,Feminino,XX,roupas ,-5,5,100,gratis,não,cancelado,pendente,10
133,1627.0,42,, sp ,ELETRONICOS,5,2,0,20,NAO,1,PAGO,3
134,1972.0,30,,SP,ELETRONICOS,2,6,200,,SIM,1,PAGO,1
135,1709.0,30,,XX,eletronicos,2,100,R$400,,,1,,10
136,1648.0,42,M,,casa,-5,0,200,0,NAO,0,pago,2
137,,25,,CE,Eletronicos,2,0,300,R$ 30,,0,pendente,2
138,1683.0,35,,,casa,,2,150,0,NAO,0,PAGO,3
139,1663.0,22,F,PE,ELETRONICOS,0,4,R$ 400,25.5,,nao,cancelado,1
140,1441.0,35,M,,Mercado,15,0,0,25.5,SIM,0,PAGO,4
141,1563.0, 35 ,M,XX,,15,1,150,gratis,,nao,pago,4
142,1951.0,trinta,Feminino,XX,eletronicos,25,0,300.0,,,cancelado,PAGO,0
143,1698.0,18,,SP,mercado,5,3,R$400,20,SIM,1,PAGO,3
144,1112.0,trinta,  M,CE,Mercado,25,0,0,25.5,,1,cancelado,0
145,1001.0,35,Masculino,PE,Roup@,5,6,R$ 400,R$ 30,não,0,PAGO,1
146,1641.0,42,F,SP,Eletronicos,15,8,50,10,SIM,sim,PAGO,
147,1219.0,,M,,roupas ,25,2,150,10,SIM,1,pago,4
148,1854.0,55,F,XX,mercado,0,1,150,R$ 30,SIM,0,PAGO,
149,1384.0, 35 ,M,,Mercado,0,6,R$ 400,0,,cancelado,PAGO,4
150,2076.0,42,m, sp ,Roup@,,3,,R$ 30,,1,cancelado,4
151,1729.0,35,Feminino,CE,Casa,15,4,50,0,,1,pendente,0
152,1246.0,55,,,Roupas,25,100,300.0,0,Sim ,cancelado,pago,
153,1835.0,18,m, sp ,Eletronicos,0,3,100,10,SIM,1,PAGO,2
154,1202.0,,,CE,roupas ,15,2,R$400,25.5,SIM,sim,pendente,0
155,1122.0,35,Masculino,CE,eletronicos,0,2,200,R$ 30,SIM,cancelado,cancelado,
156,1400.0,22,  M,,casa,5,2,R$ 400,25.5,não,1,pago,4
157,1766.0,30,, sp ,Roupas,-5,6,200,gratis,,cancelado,,3
158,1293.0,55,m,,Eletronicos,10,2,0,20,NAO,0,cancelado,3
159,1279.0,35,F,,mercado,15,8,R$400,10,,sim,pendente,10
160,1883.0,42,F,,Casa,,8,quatrocentos,,SIM,sim,pago,
161,1197.0,22,Masculino,XX,,25,8,300,0,SIM,cancelado,pago,0
162,1981.0,25,M,XX,eletronicos,,2,300.0,20,,nao,pendente,10
163,1751.0,55,F,PE,ELETRONICOS,0,8,150,0,não,0,cancelado,10
164,1143.0,,,,Mercado,999,0,300.0,20,NAO,nao,pago,0
165,1608.0,22,  M,SP,Mercado,25,0,200,20,não,nao,pendente,10
166,1186.0,42,Feminino,,eletronicos,25,2,quatrocentos,25.5,,cancelado,,1
167,1463.0,35,,RJ,ELETRONICOS,10,5,R$400,,nao,1,pendente,0
168,1659.0,trinta,  M,SP,,-5,6,50,gratis,sim,nao,cancelado,10
169,1763.0,18,Masculino,PE,Mercado,5,100,150,gratis,sim,0,cancelado,10
170,1954.0,,,ce,Eletronicos,10,6,300,0,sim,1,PAGO,0
171,1402.0,trinta,Feminino,SP,eletronicos,5,6,,10,SIM,1,PAGO,4
172,1146.0,,Feminino,CE,,999,6,200,gratis,não,nao,pendente,10
173,1863.0,30,f,ce,eletronicos,15,100,0,10,SIM,nao,cancelado,2
174,1488.0,,M,,mercado,999,8,R$400,0,sim,1,pendente,4
175,1928.0,22,Masculino,ce,ELETRONICOS,999,1,R$400,10,NAO,1,,2
176,1550.0,30,,,mercado,999,1,100,20,NAO,0,,4
177,1337.0,18,, sp ,ELETRONICOS,999,4,150,20,nao,sim,cancelado,
178,1871.0,22,,RJ,mercado,999,2,150,0,não,cancelado,,4
179,1640.0,30,Masculino,PE,eletronicos,,3,quatrocentos,10,nao,nao,,1
180,,42,,PE,casa,5,8,R$ 400,,,1,cancelado,10
181,1150.0,22,m,CE,casa,,8,300,,NAO,sim,PAGO,
182,1262.0,42,m,RJ,casa,999,3,50,10,sim,nao,pendente,2
183,1143.0,trinta,M,RJ,eletronicos,2,2,150,0,nao,1,pago,4
184,1345.0, 35 ,,CE,Mercado,25,1,0,,nao,cancelado,pago,4
185,1623.0,55,Feminino,,,5,100,100,gratis,nao,nao,,2
186,2016.0, 35 ,F,CE,Casa,25,3,150,25.5,não,0,cancelado,
187,1880.0,35,,,roupas ,999,100,R$ 400,gratis,,0,PAGO,1
188,1001.0,55,,CE,Casa,,4,100,R$ 30,,0,PAGO,2
189,1896.0,,,SP,casa,,6,200,25.5,não,nao,PAGO,1
190,1253.0,55,F,SP,Mercado,2,8,50,0,sim,1,pago,
191,1452.0,25,F, sp ,eletronicos,-5,6,150,25.5,sim,0,,1
192,2060.0,55,  M,XX,Roup@,999,1,50,,sim,nao,,3
193,2014.0,18,f,CE,Mercado,10,6,150,25.5,nao,sim,pago,1
194,1008.0, 35 ,M,RJ,Roup@,0,6,200,10,,1,PAGO,3
195,1815.0,trinta,,SP,eletronicos,10,5,100,20,sim,1,pago,10
196,,42,F,,Eletronicos,,3,300,25.5,,sim,pago,0
197,1403.0,35,m,,ELETRONICOS,10,3,50,,não,nao,,1
198,1151.0,55,Masculino,SP,,5,8,200,,NAO,1,pendente,2
199,1053.0,35,m,SP,roupas ,,0,150,0,sim,1,cancelado,3
200,1627.0,trinta,  M,,Casa,999,3,0,gratis,Sim ,1,,3
201,1586.0,35,  M,PE,mercado,999,3,R$400,10,não,sim,pendente,
202,1103.0,,F,ce,mercado,5,8,300,10,SIM,cancelado,cancelado,0
203,1253.0,trinta,  M,,ELETRONICOS,0,8,300.0,25.5,NAO,1,PAGO,10
204,1509.0,,Feminino, sp ,Mercado,25,100,,20,não,cancelado,,0
205,1098.0,55,,,mercado,5,6,R$ 400,20,sim,0,,1
206,1152.0,trinta,,,Roupas,25,8,R$400,gratis,nao,cancelado,pendente,2
207,1913.0,55,F,XX,mercado,15,1,200,gratis,,sim,cancelado,1
208,1877.0,,  M,,eletronicos,,8,R$ 400,,Sim ,1,,4
209,1337.0,25,Masculino,ce,ELETRONICOS,2,2,50,20,SIM,0,pendente,0
210,1821.0,25,Feminino,ce,roupas ,0,8,quatrocentos,R$ 30,NAO,1,,4
211,1956.0,trinta,M,,ELETRONICOS,-5,3,R$400,20,sim,0,pago,4
212,1160.0,25,  M,PE,roupas ,0,100,50,20,não,1,pago,3
213,1800.0,42,Feminino,,Roupas,25,5,200,25.5,,sim,pendente,
214,,42,f,XX,,15,8,300,,não,1,pendente,4
215,1815.0,25,M,XX,mercado,25,0,150,0,NAO,0,,0
216,1400.0,25,,RJ,ELETRONICOS,,2,R$ 400,gratis,Sim ,1,PAGO,0
217,1639.0,30,f,PE,Roup@,25,1,quatrocentos,R$ 30,nao,sim,pago,2
218,,30,F,XX,casa,999,8,100,R$ 30,,nao,,1
219,1687.0,55,,ce,Roupas,-5,6,200,10,sim,0,pago,2
220,1459.0,trinta,F,RJ,Mercado,15,6,200,20,NAO,0,cancelado,2
221,1954.0,30,Masculino,CE,Roup@,25,2,50,20,NAO,1,,
222,1469.0,30,Feminino,XX,roupas ,-5,3,200,0,não,0,pago,2
223,2045.0,25,, sp ,ELETRONICOS,0,4,R$ 400,,,cancelado,cancelado,0
224,1749.0,35,M,XX,roupas ,10,3,,20,NAO,0,,3
225,1037.0,25,M,SP,roupas ,10,2,200,gratis,SIM,nao,PAGO,
226,,30,f,PE,Roupas,5,3,100,R$ 30,SIM,cancelado,cancelado,4
227,1562.0,55,Masculino,SP,Roup@,10,6,200,20,sim,0,pago,3
228,1437.0,25,,,ELETRONICOS,2,100,R$400,0,NAO,cancelado,pendente,4
229,1026.0, 35 ,  M,XX,mercado,,4,100,25.5,não,1,,1
230,1225.0,35,  M,SP,Eletronicos,5,6,50,0,nao,0,pendente,1
231,1797.0, 35 ,,SP,Casa,10,1,300.0,25.5,sim,cancelado,,2
232,1283.0,55,Masculino,SP,Casa,25,6,R$ 400,10,Sim ,1,,10
233,1878.0,55,Masculino,PE,Roupas,15,3,200,0,não,1,pendente,10
234,1959.0,42,M,RJ,Mercado,25,100,100,10,Sim ,0,,1
235,1452.0,22,,CE,eletronicos,0,4,,10,sim,sim,pago,4
236,2019.0, 35 ,Feminino,SP,Eletronicos,25,8,300,R$ 30,,nao,PAGO,10
237,1815.0,42,,,ELETRONICOS,2,4,100,10,SIM,0,PAGO,3
238,1658.0,30,m,CE,Casa,0,6,R$400,10,não,1,pendente,
239,1546.0,18,Masculino,,Mercado,,8,50,0,nao,1,cancelado,3
240,2072.0,35,F,XX,eletronicos,10,2,100,25.5,não,0,pendente,3
241,1016.0,18,Masculino,SP,Roup@,5,6,300.0,20,sim,1,,10
242,1157.0,trinta,,SP,ELETRONICOS,0,0,quatrocentos,10,não,0,PAGO,
243,1476.0,,F,ce,roupas ,10,6,R$ 400,R$ 30,não,sim,,3
244,2069.0,30,,ce,Mercado,15,2,200,,,1,,2
245,1517.0,30,f,PE,ELETRONICOS,0,4,200,20,sim,0,PAGO,10
246,1098.0,18,M,RJ,Eletronicos,0,1,200,R$ 30,,0,cancelado,3
247,2060.0, 35 ,Masculino,PE,roupas ,5,8,150,20,NAO,sim,cancelado,4
248,1279.0,22,M,PE,Eletronicos,10,0,R$400,10,sim,nao,,2
249,1496.0, 35 ,  M,SP,casa,,2,300,gratis,não,1,,
250,1301.0,18,,ce,Casa,5,5,R$ 400,,nao,nao,,2
251,1180.0,trinta,m,ce,,10,0,R$ 400,20,nao,0,,10
252,1606.0, 35 ,m,ce,eletronicos,,0,200,gratis,,0,cancelado,2
253,1699.0,30,  M,CE,,15,5,R$400,25.5,sim,1,pendente,1
254,1992.0, 35 ,f, sp ,Mercado,2,0,50,20,não,0,pendente,2
255,1190.0,55,m,SP,roupas ,5,6,R$ 400,0,Sim ,1,PAGO,4
256,1252.0,,,XX,Casa,10,5,100,R$ 30,Sim ,nao,pago,
257,1980.0,42,m,PE,Roupas,,4,300.0,,SIM,1,pendente,10
258,1927.0,35,  M,ce,Eletronicos,,5,R$400,25.5,,0,pendente,10
259,1127.0,,F,ce,casa,0,4,,25.5,,0,,3
260,1017.0, 35 ,M,ce,Eletronicos,0,1,200,,sim,1,,
261,1565.0,22,Feminino,SP,ELETRONICOS,10,3,,gratis,sim,1,,1
262,1569.0,,,ce,Roup@,25,0,R$ 400,10,Sim ,0,pendente,3
263,1685.0,22,M,RJ,casa,15,8,150,R$ 30,Sim ,1,PAGO,0
264,1625.0,,,PE,casa,,8,0,0,Sim ,0,,1
265,1853.0, 35 ,m,SP,eletronicos,,3,0,,,cancelado,,
266,1961.0,25,m,PE,Mercado,2,100,300,,nao,cancelado,pendente,4
267,,30,f,,Roupas,999,6,R$ 400,0,nao,sim,PAGO,1
268,1489.0,,M,,Roupas,,0,quatrocentos,gratis,SIM,nao,,2
269,1784.0, 35 ,,RJ,eletronicos,25,0,50,gratis,SIM,1,pago,1
270,1245.0,30,m,CE,Eletronicos,15,3,,25.5,NAO,0,,2
271,,30,f,CE,mercado,15,4,150,,nao,1,PAGO,3
272,1758.0,18,M, sp ,Casa,5,6,100,gratis,sim,0,pendente,1
273,,30,f,RJ,,,2,R$400,10,SIM,sim,,1
274,1920.0, 35 ,M,PE,mercado,25,8,100,25.5,não,0,pago,4
275,1407.0,22,Masculino,CE,ELETRONICOS,10,2,,25.5,sim,nao,PAGO,0
276,1524.0,25,Masculino,,Roupas,0,5,R$ 400,25.5,NAO,cancelado,pago,1
277,1827.0,trinta,  M,CE,,,4,300.0,0,Sim ,1,PAGO,3
278,1902.0,30,,ce,Mercado,,100,0,R$ 30,NAO,0,pendente,2
279,1035.0,42,f, sp ,Roup@,25,2,R$ 400,R$ 30,sim,1,PAGO,3
280,1684.0,30,  M,SP,Eletronicos,999,8,R$400,0,Sim ,sim,pendente,
281,1019.0,55,f,XX,Mercado,15,8,R$ 400,25.5,NAO,0,PAGO,10
282,1320.0,35,m,XX,Mercado,25,8,quatrocentos,10,NAO,0,,10
283,1511.0, 35 ,Feminino,CE,roupas ,-5,1,quatrocentos,20,sim,sim,PAGO,4
284,1399.0,30,f,PE,casa,-5,0,0,25.5,SIM,nao,PAGO,10
285,1653.0,42,m,PE,Casa,-5,2,,gratis,,0,cancelado,1
286,1971.0,22,,ce,,999,5,,,,1,cancelado,
287,1470.0,22,Masculino,CE,casa,25,2,300.0,,não,nao,PAGO,0
288,1833.0,22,  M,CE,Mercado,2,5,R$400,R$ 30,NAO,0,cancelado,0
289,1726.0,trinta,Feminino,XX,eletronicos,,8,200,,,nao,pendente,1
290,1853.0,55,Masculino,,mercado,,6,50,20,não,cancelado,cancelado,0
291,1050.0,22,  M,CE,roupas ,-5,5,R$ 400,0,nao,0,PAGO,3
292,1574.0,22,Feminino,SP,casa,0,4,R$400,0,nao,cancelado,,2
293,1149.0, 35 ,F, sp ,ELETRONICOS,25,0,300.0,20,sim,1,pago,1
294,1313.0,55,m, sp ,,25,0,200,R$ 30,,cancelado,,10
295,1569.0,,F,SP,,10,1,R$ 400,R$ 30,sim,0,,2
296,1304.0,25,m,,Roup@,2,2,300,gratis,,1,,0
297,1681.0,25,M,PE,Roup@,0,3,150,0,,sim,,4
298,1837.0,55,,XX,Casa,999,1,0,0,,1,pago,
299,2077.0,35,Feminino,SP,,5,3,50,0,SIM,0,PAGO,2
300,2002.0,trinta,F,RJ,ELETRONICOS,999,0,R$ 400,10,,cancelado,PAGO,
301,1443.0,42,,,casa,999,4,100,gratis,Sim ,nao,pago,
302,1612.0,30,Feminino,XX,casa,999,8,300.0,25.5,não,cancelado,,4
303,1992.0, 35 ,  M,,Mercado,10,8,300.0,,,1,cancelado,3
304,1263.0,18,M,RJ,casa,999,5,R$400,10,NAO,sim,,4
305,,25,  M,CE,ELETRONICOS,15,1,0,,Sim ,0,pendente,2
306,2003.0,,m,SP,Roup@,10,4,200,0,nao,cancelado,,2
307,1004.0,55,,CE,Mercado,,8,R$ 400,10,,nao,,1
308,1773.0,42,Feminino,ce,Eletronicos,999,5,100,0,nao,1,pago,10
309,1876.0,55,f,SP,ELETRONICOS,5,2,200,R$ 30,não,sim,pago,4
310,1991.0,30,,RJ,eletronicos,999,0,0,25.5,,0,,3
311,1883.0,42,,,casa,10,2,R$400,0,não,cancelado,pendente,1
312,1046.0,25,F,ce,Roup@,0,0,150,10,,0,,1
313,1866.0,22,Feminino,PE,mercado,25,2,200,25.5,,1,pendente,3
314,1822.0,55,Masculino,ce,,999,5,100,10,Sim ,cancelado,PAGO,1
315,1935.0,,Masculino, sp ,,,4,50,10,Sim ,nao,,3
316,1655.0,18,m,XX,casa,-5,1,300.0,20,SIM,1,PAGO,0
317,1268.0,25,,,eletronicos,0,0,,0,NAO,0,pago,1
318,1369.0,,,CE,,0,3,200,0,NAO,nao,PAGO,2
319,1635.0,30,Masculino,PE,Roup@,2,4,,10,NAO,1,,0
320,1656.0,18,,,Casa,25,4,quatrocentos,,,1,pendente,1
321,1119.0,35,,ce,casa,999,5,100,R$ 30,,sim,pago,3
322,1830.0,trinta,m,,Mercado,0,3,50,0,nao,cancelado,PAGO,0
323,2081.0,25,F,CE,roupas ,2,100,quatrocentos,gratis,nao,1,pago,10
324,1740.0,22,,PE,,25,4,300,R$ 30,Sim ,sim,pago,0
325,1116.0,25,F,,ELETRONICOS,25,4,quatrocentos,R$ 30,SIM,0,pendente,2
326,1790.0,30,,CE,eletronicos,10,6,300,R$ 30,sim,nao,,1
327,2012.0,42,f,CE,casa,999,0,100,0,SIM,sim,,1
328,2081.0,55,F,PE,Eletronicos,,8,R$400,R$ 30,,cancelado,,3
329,1633.0,42,M,RJ,mercado,0,4,0,R$ 30,nao,1,cancelado,0
330,1512.0,42,f,XX,Roup@,0,4,200,25.5,,0,pago,2
331,1801.0,25,,RJ,eletronicos,5,5,0,0,Sim ,1,PAGO,3
332,1559.0,30,,CE,ELETRONICOS,5,5,300.0,R$ 30,SIM,1,cancelado,10
333,1487.0,55,f,SP,casa,0,1,50,,Sim ,0,cancelado,3
334,1896.0,55,,PE,Eletronicos,999,0,,gratis,não,0,cancelado,2
335,1703.0,42,Feminino,CE,Roup@,5,5,,R$ 30,não,sim,cancelado,1
336,1580.0,35,M,CE,ELETRONICOS,,3,150,10,sim,0,,2
337,1789.0,trinta,Feminino,,Roup@,,3,150,0,nao,1,cancelado,1
338,1860.0,30,,XX,ELETRONICOS,15,4,R$ 400,25.5,,cancelado,PAGO,4
339,1246.0,35,F,,,15,8,,gratis,não,1,PAGO,0
340,2099.0, 35 ,Feminino,PE,,15,5,150,20,sim,1,pago,2
341,1153.0, 35 ,F, sp ,casa,25,1,100,10,NAO,nao,PAGO,10
342,1996.0,18,f,RJ,roupas ,999,5,quatrocentos,10,Sim ,0,,10
343,1696.0,42,,,Roupas,5,5,0,10,,1,pago,3
344,2092.0,55,  M,PE,Mercado,25,6,200,gratis,NAO,1,PAGO,3
345,2070.0,25,,RJ,roupas ,5,8,300,0,NAO,0,cancelado,1
